brand,url,total,area_1_total,area_2_total,area_3_total,c1_ai_crawler,c2_pdp_ssr,c3_sitemap,c4_product_schema,c5_review_schema,c6_faq_schema,c7_org_schema,c8_pdp_titles,c9_pdp_descriptions,c10_uniqueness,shopify_confirmed,fetch_error,timestamp
Summer Fridays,https://www.summerfridays.com,5,2,2,1,1,0,1,0,1,0,1,1,0,N/A,True,,2026-04-18T09:06:17.047426+00:00
Glow Recipe,https://www.glowrecipe.com,5,2,1,2,1,1,0,1,0,0,0,1,1,N/A,True,,2026-04-18T09:06:32.545200+00:00
Tata Harper,https://www.tataharper.com,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,False,homepage fetch failed,2026-04-18T09:06:52.515620+00:00
Herbivore Botanicals,https://www.herbivorebotanicals.com,3,1,2,0,1,0,0,1,1,0,0,0,0,N/A,True,,2026-04-18T09:06:54.578525+00:00
Youth To The People,https://www.youthtothepeople.com,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,False,homepage fetch failed,2026-04-18T09:07:15.654836+00:00
Kosas,https://www.kosas.com,3,2,1,0,1,1,0,0,0,0,1,0,0,N/A,True,,2026-04-18T09:07:17.864241+00:00
Ilia Beauty,https://iliabeauty.com,2,2,0,0,1,0,1,0,0,0,0,0,0,N/A,True,,2026-04-18T09:07:40.686301+00:00
Merit Beauty,https://www.meritbeauty.com,3,2,1,0,1,0,1,0,0,0,1,0,0,N/A,True,,2026-04-18T09:08:01.217020+00:00
Saie,https://www.saiehello.com,3,2,0,1,1,1,0,0,0,0,0,1,0,N/A,True,,2026-04-18T09:08:10.459766+00:00
Tower 28 Beauty,https://www.tower28beauty.com,5,2,3,0,1,1,0,1,1,0,1,0,0,N/A,True,,2026-04-18T09:08:29.911412+00:00
Topicals,https://topicals.com,1,1,0,0,1,0,0,0,0,0,0,0,0,N/A,False,,2026-04-18T09:08:47.645309+00:00
Westman Atelier,https://westman-atelier.com,3,3,0,0,1,1,1,0,0,0,0,0,0,N/A,True,,2026-04-18T09:08:50.788582+00:00
Rose Inc.,https://www.roseinc.com,5,2,3,0,1,1,0,1,1,0,1,0,0,N/A,True,,2026-04-18T09:09:14.312564+00:00
Drunk Elephant,https://www.drunkelephant.com,2,1,1,0,1,0,0,0,0,0,1,0,0,N/A,False,,2026-04-18T09:09:35.388915+00:00
Beauty of Joseon,https://beautyofjoseon.com,4,2,2,0,1,0,1,1,0,0,1,0,0,N/A,True,,2026-04-18T09:09:40.741545+00:00
Krave Beauty,https://kravebeauty.com,6,3,3,0,1,1,1,1,1,0,1,0,0,N/A,True,,2026-04-18T09:09:54.787306+00:00
